Country,Continent,ManualOmit,Gender,Record,Athlete,Date,Meet,Place,cleantime,ht,time,wind,ratified,speed,pos_at_max_dist
Japan,Asia,,M,10.00 (+1.9 m/s),Koji Ito,13-Dec-98,Asian Games,"Bangkok, Thailand",10,FALSE,10,FALSE,FALSE,10,95.8
Jordan,Asia,,M,10.48 (+1.7 m/s),Khalil Al-Hanahneh,27-Oct-07,,"Amman, Jordan",10.48,FALSE,10.48,FALSE,FALSE,9.541984733,91.41221374
Kazakhstan,Asia,,M,10.08 (+1.3 m/s),Vitaliy Savin,13-Aug-92,,"Linz, Austria",10.08,FALSE,10.08,FALSE,FALSE,9.920634921,95.03968254
Kenya,Africa,,M,10.23 A (+0.8 m/s),Mike Mokamba Nyang'au,11-Jul-15,Kenyan Championships,"Kasarani, Kenya",10.23,FALSE,10.23,FALSE,FALSE,9.775171065,93.64613881
Kiribati,Oceania,,M,11.17 (+1.1 m/s),Rabangaki Nawai,14-Dec-06,Oceania Championships,"Apia, Samoa",11.17,FALSE,11.17,FALSE,FALSE,8.952551477,85.76544315
Kuwait,Asia,,M,10.27 (+1.8 m/s),Meshaal Khalifa Al-Mutairi,4-Jun-15,Asian Championships,"Wuhan, China",10.27,FALSE,10.27,FALSE,FALSE,9.737098345,93.28140214
Kyrgyzstan,Asia,,M,10.39 (0.0 m/s),Valeriy Shchekotov,23-May-92,,"Alma Ata, Kazakhstan",10.39,FALSE,10.39,FALSE,FALSE,9.624639076,92.20404235
Laos,Asia,,M,11.04 (+1.1 m/s),Kilakone Siphonexay,15-Dec-12,16th ASEAN University Games,"Vientiane, Laos",11.04,FALSE,11.04,FALSE,FALSE,9.057971014,86.77536232
Latvia,Europe,,M,10.18 (+1.4 m/s),Ronalds ArÄÅjs,3-Jul-11,16th Meeting Via col... Vento,"Donnas, Italy",10.18,FALSE,10.18,FALSE,FALSE,9.823182711,94.10609037
Lebanon,Asia,,M,10.59,Mohammed Siraj Tamim,2-May-03,,"Beirut, Lebanon",10.59,FALSE,10.59,FALSE,FALSE,9.442870633,90.46270066
Lebanon,Asia,,M,10.59 (+1.9 m/s),Mohammed Siraj Tamim,2-Jun-12,,"Beirut, Lebanon",10.59,FALSE,10.59,FALSE,FALSE,9.442870633,90.46270066
Lesotho,Africa,,M,10.11 (+1.4 m/s),Mosito Lehata,12-Apr-15,Meeting International,"RÃ©duit, Mauritius",10.11,FALSE,10.11,FALSE,FALSE,9.891196835,94.75766568
Liberia,Africa,,M,10.14 (+1.1 m/s),Emmanuel Matadi,18-Mar-16,Redlands Invitational,"Redlands, United States",10.14,FALSE,10.14,FALSE,FALSE,9.861932939,94.47731755
Libya,Africa,,M,10.74,Ahmed Mohamed Sallouma,20-Jun-79,,"Sofia, Bulgaria",10.74,FALSE,10.74,FALSE,FALSE,9.310986965,89.19925512
Liechtenstein,Europe,,M,10.53,Martin Frick,12-Jul-96,,"Bellinzona, Switzerland",10.53,FALSE,10.53,FALSE,FALSE,9.496676163,90.97815764
Lithuania,Europe,,M,10.14 (-0.2 m/s),Rytis Sakalauskas,17-Aug-11,Universiade,"Shenzhen, China",10.14,FALSE,10.14,FALSE,FALSE,9.861932939,94.47731755
Luxembourg,Europe,,M,10.41,Roland Bombardella,8-Sep-79,Universiade,"Mexico City, Mexico",10.41,FALSE,10.41,FALSE,FALSE,9.606147935,92.02689721
Luxembourg,Europe,,M,10.41 (+1.7 m/s),Daniel Abenzoar-FoulÃ©,21-Jul-06,,"Tomblaine, France",10.41,FALSE,10.41,FALSE,FALSE,9.606147935,92.02689721
Macau,Asia,,M,10.69,Leong Veng Cheong,6-May-90,,Hong Kong,10.69,FALSE,10.69,FALSE,FALSE,9.35453695,89.61646399
Madagascar,Africa,,M,10.18,Jean-Louis Ravelomanantsoa,13-Oct-68,Olympic Games,"Mexico City, Mexico",10.18,FALSE,10.18,FALSE,FALSE,9.823182711,94.10609037
Madagascar,Africa,,M,10.18 (+2.0 m/s),Jean-Louis Ravelomanantsoa,13-Oct-68,,"Mexico City, Mexico",10.18,FALSE,10.18,FALSE,FALSE,9.823182711,94.10609037
Malawi,Africa,,M,10.88,Eston Kaonga,25-Jan-94,,"Christchurch, New Zealand",10.88,FALSE,10.88,FALSE,FALSE,9.191176471,88.05147059
Malaysia,Asia,,M,10.3,Watson Nyambek,13-Jul-98,Pre Commonwealth Games 1998,"Kuala Lumpur, Malaysia",10.3,FALSE,10.3,FALSE,FALSE,9.708737864,93.00970874
Maldives,Asia,,M,10.33 (+1.9 m/s),Hassan Saaid,16-Apr-16,MVP Track & Field Meeting,"Kingston, Jamaica",10.33,FALSE,10.33,FALSE,FALSE,9.68054211,92.73959342
Mali,Africa,,M,10.10 (+1.2 m/s),Ousmane Diarra,4-May-96,,"Athens, United States",10.1,FALSE,10.1,FALSE,FALSE,9.900990099,94.85148515
Malta,Europe,,M,10.49 (0.0 m/s),Kevin Moore,12-Aug-14,European Championships,"ZÃ_rich, Switzerland",10.49,FALSE,10.49,FALSE,FALSE,9.532888465,91.3250715
Mangolia,Asia,Y,M,10.3 ht,Achitbileg Battulga,17-Jul-14,,"Ulaanbaatar, Mongolia",10.3,FALSE,10.3,FALSE,FALSE,9.708737864,93.00970874
Mangolia,Asia,,M,10.65 (+0.8 m/s),Achitbileg Battulga,3-Jun-15,Asian Championships,"Wuhan, China",10.65,FALSE,10.65,FALSE,FALSE,9.389671362,89.95305164
Mangolia,Asia,,M,10.65 (+0.4 m/s),Achitbileg Battulga,25-Jul-15,Kosanov Memorial,"Almaty, Kazakhstan",10.65,FALSE,10.65,FALSE,FALSE,9.389671362,89.95305164
Marshall Islands,Oceania,,M,10.39 (+1.9 m/s),Roman William Cress,15-May-99,Minnesota Last Chance meet,"Minneapolis, United States",10.39,FALSE,10.39,FALSE,FALSE,9.624639076,92.20404235
Mauritania,Africa,,M,10.74 (+0.7 m/s),Cheikh Diagana,11-Jul-06,,"Antony, France",10.74,FALSE,10.74,FALSE,FALSE,9.310986965,89.19925512
Mauritius,Africa,,M,10.13 (-1.3 m/s),StÃ©phane Buckland,21-Apr-02,Mauritius International Meet,"RÃ©duit, Mauritius",10.13,FALSE,10.13,FALSE,FALSE,9.871668312,94.57058243
Mauritius,Africa,,M,10.13 (+0.7 m/s),StÃ©phane Buckland,21-Jul-01,Jeux de la Francophonie,"Ottawa, Canada",10.13,FALSE,10.13,FALSE,FALSE,9.871668312,94.57058243
Mexico,North America,,M,10.21 (+0.1 m/s),Carlos VillaseÃ±or GarcÃ_a,11-Jul-97,National Championships,"Toluca, Mexico",10.21,FALSE,10.21,FALSE,FALSE,9.794319295,93.82957884
Mexico,North America,,M,10.21 (+0.8 m/s),JosÃ© Carlos Herrera,29-Aug-14,National Championships,"Xalapa, Mexico",10.21,FALSE,10.21,FALSE,FALSE,9.794319295,93.82957884
Moldova,Europe,,M,10.30 (+0.4 m/s),Alexandr Afteni,19-Jul-84,,"Moscow, Soviet Union",10.3,FALSE,10.3,FALSE,FALSE,9.708737864,93.00970874
Monaco,Europe,,M,10.53 (+1.4 m/s),SÃ©bastien Gattuso,12 Juli 2008,,"Dijon, France",10.53,FALSE,10.53,FALSE,FALSE,9.496676163,90.97815764
